arsfc_en;Arsenal FC;Arsenal
avfc_en;Aston Villa FC;Aston Villa
barnfc_en;Barnsley FC;Barnsley FC
bcfc_en;Birmingham City FC;Birmingham City
brfc_en;Blackburn Rovers FC;Blackburn Rovers
bpfc_en;Blackpool FC;
bwfc_en;Bolton Wanderers FC;
bournmthafc_en;AFC Bournemouth;Bournemouth
brentfc_en;Brentford FC;Brentford FC
bhafc_en;Brighton and Hove Albion Football Club;"Huddersfield Town"" odds"
briscfc_en;Bristol City FC;Bristol City
burnfc_en;Burnley FC;Burnley
bafc_en;Burton Albion FC;Burton Albion
cardcfc_en;Cardiff City FC;Cardiff City
chathfc_en;Charlton Athletic FC;
chefc_en;Chelsea FC;Chelsea
covcfc_en;Coventry City FC;
cpfc_en;Crystal Palace FC;Crystal Palace
dcfc_en;Derby County FC;Derby County
doncrfc_en;Doncaster Rovers FC;
evfc_en;Everton FC;Everton
fhfc_en;Fulham FC;Fulham
huddtfc_en;Huddersfield Town FC;Huddersfield Town
hcafc_en;Hull City AFC;Hull City
ipstfc_en;Ipswich Town FC;Ipswich Town
leeutdafc_en;Leeds United AFC;Leeds United
leicfc_en;Leicester City FC;Leicester
livfc_en;Liverpool FC;Liverpool
mcfc_en;Manchester City FC;Manchester City
mufc_en;Manchester United FC;Manchester United
middfc_en;Middlesbrough FC;Middlesbrough
millfc_en;Millwall FC;
nufc_en;Newcastle United FC;Newcastle
norcfc_en;Norwich City FC;Norwich City
nottffc_en;Nottingham Forest FC;Nottingham Forest
petutdfc_en;Peterborough United FC;
plymafc_en;Plymouth Argyle FC;
portfc_en;Portsmouth FC;
prenefc_en;Preston North End FC;Preston North End
qprfc_en;Queens Park Rangers FC;Queens Park Rangers
readfc_en;Reading FC;Reading FC
rotutdfc_en;Rotherham United FC;Rotherham United
scutdfc_en;Scunthorpe United FC;
shefutd_en;Sheffield United FC;
sheffwfc_en;Sheffield Wednesday FC;Sheffield Wednesday
shefw_en;Sheffield Wednesday FC;Sheffield Wednesday
southfc_en;Southampton Football Club;Southampton
scfc_en;Stoke City FC;Stoke City
suafc_en;Sunderland AFC;Sunderland
swacafc_en;Swansea City AFC;Swansea
thfc_en;Tottenham Hotspur FC;Tottenham
watfc_en;Watford FC;Watford FC
wbafc_en;West Bromwich Albion FC;West Bromwich Albion
whufc_en;West Ham United FC;West Ham
wafc_en;Wigan Athletic FC;Wigan Athletic
wwfc_en;Wolverhampton Wanderers FC;Wolverhampton Wanderers
ytfc_en;Yeovil Town FC;
